image_name,class_id,xmin,ymin,xmax,ymax,recognized_text
5000112548167_3_ucb.JPG,2,1863,1952,2880,2360,@ccoot
5000112548167_3_ucb.JPG,2,1863,1952,2880,2360,@ccoot
5000112548167_3_ucb.JPG,3,1797,2033,1850,2555,
5000112548167_3_ucb.JPG,1,2083,2397,2625,2538,ligBt taate
5000112548167_3_ucb.JPG,20,1786,1747,1824,2015,9
5000112548167_3_ucb.JPG,5,1782,242,2960,4357,OHNE KALORIEN @ccGa ligft taate
5600821261717_2_ucb.JPG,10,1402,624,2514,1964,"D Eementienes Gzntee Gatränk mit Iq [Zionengeschmack   Zutaten: Wasser (1), Rohruicer' @ Kombucha-Kulturen;   Stevia   Tee-Exbakt*   (Wasser; Steva E Gruntee 3 natürliches Ingweraroma (0,296) natürkdes Zonenaroma   (0,059), ""Badllus   coagulans""  aus   kontoller bobogiscem  Anbau:   (1)   gefiltert; (2) während   der Nidit   vergessen:   Niemals schüteln Vorsichlg dfhen   Mindestens   haltbar bis   siehe   Edkettenaufdruck   oder Faschensculter   Wärme   und   lidtgeschütt   lagem   Nad dm dfnen zvischen O und 69C aufbewahren und innerhabvon afbraucen EN Qrganiclighty sparkdingfsnsnederen @ Ingedients: Water filtered by reverse osmosis; @ne ggr (bansfored duringfermentation), kombuchaaibures;  tia tea edad (water; organic stevia leaves) geen *4 Mudl ginger flavour 0,.29, natural lemon flavour 0,05% ,;Badis oaguans"". Remember: Never shake Open crefuly Sbre h a oodyphc, awayfrom sunlight After opening bebveen Oand PCandconsumewithin 3das Bestbefore: seebottom d@n Blater } Gnng Umgewandek 13 Tagen organi € organi e organic keep"
5600821261717_2_ucb.JPG,22,2530,792,2616,1201,Ha BAoe 00 
5600821261717_2_ucb.JPG,20,1532,2167,1841,2561,4
5600821261717_2_ucb.JPG,3,1442,2564,1946,3412,1 5 ;
5600821261717_2_ucb.JPG,7,2074,3268,2434,3436,e 25Om 
5600821261717_2_ucb.JPG,11,2054,2264,2490,2656,"SA Parque Industrla e Tecnologico de Evor Rua do Marmore, NP9 7005-433 Evora; Portugal"
5600821261717_2_ucb.JPG,5,1308,316,2623,3793,"@ Eementietes Gzntee Getränk mit [Zionengeschmadk   Zutaten: Wasser (1), Rohrzuder' @ [Kombucha- Kuluren;   Stevia   Tee-Extrakt*   (Wasser; Stevia E Gruntee natürlices Ingweraroma (0,296) natürldes Donenaroma   (0,059),   ""Badillus   coagulans"". aus   kontolier | bobgiscem   Anbau (1)   gefiltert (2) während   der Nidit   vergessen:   Niemals schüteln  Vorsidilg | 7us) dfien   Mindestens   halbbar bis   siehe Etkettenaufdrudk  oder | aniko Faschensculter   Wärme-   und   lidtgescütt  lagem  Nad dm dfnen zwvischen O und 69C aufbewahren und innerhab anraucen EN Qrganiclightly sparkingismsnsdern ha Ingedients: Water filtered by reverse osmosis; @ie sgar (bansformned sfermentaton) kombuca aubures orank iia ta edad (water; organic steva leaves) geen €4 naud gnger flavour 0.28, natural lemon flavour 0,05% ,Badls oulans""  Remember; Never shake Open arefully Sbre h a ooldyplace; awayfrom sunlight After opening keep bebueen Dand 6Candcnsumewithin 3 Bestbefore: seebotiom dan Einwegpfand € 0,25 Made botded by; Asteriscos e Reticpndas; SA Parque Industrial e Tecnologico de Evon 2 Rua do Marmore; NP9 7005-433 Evora; Portugal [ Mindestens baltbar biss siehe ; L e Ingwne Blater ) BIo 0 Gnung Ungewandek von3 Tagen organic _ Iduring 5 organic days Dosenboden 25Om| TOAFZAG"
5600821261717_2_ucb.JPG,9,1399,624,2526,789,"D Eementientes_ Grüntee Gatränk mit_Iq (ionengeschmack   Zutaten: Wasser (1) Rohirder"""
5000159471510_4_ucb.JPG,12,1213,1119,2945,1763,6 6u Fackung: Foiciones poi paquc Portionsgrösse: / Tamano de la porcion: 449 44 (% Nährwertinformation Informacion Nutricional 1OOc (11%) 2157kJ (11%) Energie Valor energetico 516kcai 1g (16%) 269 Fec Grasas (249) davon gesätiigte Fets Ure 7 de 'as cuali saturadas (109) 58g Kohlenhydrate Hidraros de uibono 23g (26%) davon Zucker io cal azucares 4.49 (9%) weiss Proteina s 10g 0 (< 1%] Salz Sal 0.109 Aoo kJi2 00O kcal) / 949/ 227keal 2 (9 119 26g 539 104g
