Nr.,GTIN,brandName,productName,Energy  [kJ],Energy [kcal],Fat,Fat_isEqual,OfWhichSaturated,OfWhichSaturated_isEqual,Carbohydrate,Carbohydrate_isEqual,OfWhichSugar,OfWhichSugar_isEqual,Protein,Protein_isEqual,Salt,Salt_isEqual,oneHundred_referenceUnit,barcode,detailedProductName,netContent,netContentUnit,packagingMarkedLabelAccreditation,organicClaim,percentageOfAlcoholByVolume,percentageOfAlcoholByVolume_isEqual,packagingRecyclingProcessType,brick_code,brick decription
4,5000112548167,Coke,Coca-Cola light taste,0.8,0.2,,True,,True,0.0,True,0.0,TRUE,,True,0.02,True,ml,5000112548167,"kalorienfreies, koffeinhaltiges Erfrischungsgetränk mit Pflanzenextraken, mit Süßungsmitteln",0.5,l,,,,True,[50],10000201,"Erfrischungsgetränke, aromatisiert – trinkfertig"
10,4104420021242,Alnatura,Ednusscreme crunchy,2636.0,636.0,53.0,True,15.0,True,12.0,True,6.4,TRUE,25,True,0.98,True,g,4104420021242,Bio Erdnusscreme gesalzen mit gerösteten Erdnussstückchen,250,g,"[240, 221]","[14, 53]",,True,,10000280,Dipsaucen / Würzsaucen / Feinkostsaucen / Aufstriche / Marinaden (ohne Kühlung haltbar)
25,76121043,Ovomaltine,Ovomaltine crunchy,2153.0,514.0,25.6,True,14.8,True,62.2,True,59.8,TRUE,7.6,True,0.23,True,g,76121043,,100,g,[220],,,True,,10000045,Schokolade und Mischungen aus Schokolade und Zuckerwaren – Süßwaren
51,4011932236012,"Dallmanns Pharma Candy GmbH""","Dallmanns Ingwer-Salbei Bonbons""",996.0,239.0,0.0,True,0.0,True,97.0,True,0.5,FALSE,0.5,False,0.01,False,g,4011932236012,Zuckerfries Hals- und Hustenbonbon mit Ingwer- und Salbeiextrakt und Süßungsmittel,37,g,[225],,,True,,10000047,Bonbons / Zuckerwaren auf Basis Zuckerersatz
53,4061458000888,Westcliff,Kräutertee Fenchel-Anis-Kümmel,3.0,1.0,0.0,True,0.0,True,0.2,True,0.1,FALSE,0,True,0.0,True,ml,4061458000888,Kräutertee,50,g,"[220, 225]",,,True,,10000116,Tee – lose / abgepackt / Aufgussbeutel
55,4061458006897,King’s Crown,Hojiblanca,552.0,134.0,14.0,True,2.2,True,0.0,True,0.0,TRUE,0.5,True,2.5,True,g,4061458006897,"Geschwärzte Oliven, entsteint",160,g,,,,True,,10000040,Speiseöle – pflanzlich (ohne Kühlung haltbar)
57,4061458079525,Almare Seafood,Thunfisch,357.0,84.0,1.6,True,0.2,True,5.4,True,4.2,TRUE,12,True,0.85,True,g,4061458079525,Thunfisch Stücke in pikanter Dressing-Sauce mit Gemüsebeilage,185,g,"[198, 228]",,,True,,10000016,Fisch – bearbeitet / verarbeitet (leicht verderblich)
61,4061458003889,Bon-Ri,Kochbeutel Reis,1495.0,352.0,0.9,True,0.5,True,75.0,True,0.0,TRUE,7.5,True,0.01,True,g,4061458003889,Langkorn Reis,500,g,,,,True,,10000211,Körner / Getreide – nicht verzehrbereit (ohne Kühlung haltbar)
74,90433627,Red Bull,The White Edition,191.0,45.0,0.0,True,0.0,True,11.0,True,11.0,TRUE,0,True,0.1,True,ml,90433627,Energy Drink mit dem Geschmacl von Kokos-Blaubeere,250,ml,,,,True,[50],10000266,Energydrinks – trinkfertig
78,4061458072465,Gut bio,Honig cremig,1283.0,302.0,0.1,False,0.1,False,75.1,True,75.1,TRUE,0.4,True,0.02,True,g,4061458072465,Bio-Honig cremig,340,g,,[229],,True,,10000213,Honig (ohne Kühlung haltbar)
